claim_id,part,document,label_or_location,claim,depends_on,audit_status,finding_id
II-V2-01,II,part_ii/v2_interaction_comparison.tex,prop:laws,The same-noise fields have the stated marginal and mixed covariance laws,none,false-as-stated,F-II-01
II-V2-02,II,part_ii/v2_interaction_comparison.tex,lem:recomb,Changing ensemble Wick order adds exactly the displayed quadratic and scalar corrections,none,directly-verified,
II-V2-03,II,part_ii/v2_interaction_comparison.tex,prop:Yexists,The continuum Wick chaoses exist in L2 and the relevant mode sums are positive,II-V2-02,directly-verified,
II-V2-04,II,part_ii/v2_interaction_comparison.tex,lem:envelope,The D4/covariance convolution envelopes and summability bounds hold uniformly,II-O3,directly-verified-with-constant-qualification,F-II-04
II-V2-05,II,part_ii/v2_interaction_comparison.tex,lem:symdiff,The lattice and continuum covariance symbols differ by the stated rate,II-O3,directly-verified,
II-V2-06,II,part_ii/v2_interaction_comparison.tex,thm:A4a,The unshifted lattice and continuum interactions converge in L2 at the stated rate,II-V2-01;II-V2-03;II-V2-04;II-V2-05,repair-required,F-II-01
II-V2-07,II,part_ii/v2_interaction_comparison.tex,thm:dict--cor:lock,The lattice/continuum Wick dictionary cancels the apparent counterterm with the stated rate,II-V2-05,directly-verified,
II-V2-08,II,part_ii/v2_interaction_comparison.tex,lem:H,The mean-shift fields have the stated uniform envelopes and symbol convergence,II-V1-04;II-O3,directly-verified,
II-V2-09,II,part_ii/v2_interaction_comparison.tex,lem:symbolsup,The normalized coefficient power-symbols have uniform bounds and differences,II-V2-04;II-V2-08,not-closed,F-II-02
II-V2-10,II,part_ii/v2_interaction_comparison.tex,prop:shifted,All shifted interaction chaoses converge in L2 at the required uniform rate,II-V2-06;II-V2-09,not-closed-load-bearing,F-II-02
II-V2-11,II,part_ii/v2_interaction_comparison.tex,thm:A5,Uniform exponential Nelson bounds hold for unshifted and shifted interactions,II-V2-06;II-V2-10,conditional-on-gap,F-II-02
II-V3-01,II,part_ii/v3_continuum_package.tex,lem:VL2,Continuum sharp-time Wick interactions converge in L2 with the displayed vacuum rate,II-V2-03;II-V2-04,directly-verified,
II-V3-02,II,part_ii/v3_continuum_package.tex,lem:nelson--prop:nelson3,The abstract Nelson estimate applies in the vacuum periodic and bridge ensembles,EXT-SIMON;II-V3-01,directly-verified,
II-V3-03,II,part_ii/v3_continuum_package.tex,thm:finitemode,Every finite-mode continuum truncation has the stated FKN trace and shift package,II-V1-02;II-V1-04;II-V2-02,directly-verified-but-compressed,F-II-05
II-V3-04,II,part_ii/v3_continuum_package.tex,thm:A1i,The continuum interacting semigroup and Hamiltonian K_L exist and obey the FKN formula,II-V3-01;II-V3-02;II-V3-03,directly-verified,
II-V3-05,II,part_ii/v3_continuum_package.tex,lem:ladder--thm:A1ii,The continuum semigroup is trace class and finite-mode approximants converge in trace norm,II-V3-02;II-V3-04;EXT-SIMON,directly-verified,
II-V3-06,II,part_ii/v3_continuum_package.tex,lem:shiftlimits,Periodic shifted interactions converge with the stated quantitative N2 rate,II-V2-09;II-V3-01,not-fully-derived,F-II-03
II-V3-07,II,part_ii/v3_continuum_package.tex,thm:A1iv--cor:A2b,The continuum periodic marked-slice FKN/mean-shift representation holds,II-V3-03;II-V3-05;II-V3-06,conditional-on-repair,F-II-03
II-V3-08,II,part_ii/v3_continuum_package.tex,thm:A1iii,The continuum Hamiltonian has a unique positive ground state and a positive gap,II-V3-04;II-V3-05;EXT-SIMON,directly-verified,
II-V4-01,II,part_ii/v4_assembly.tex,lem:action--lem:phase,The lattice and continuum coupled representations have matching action prefactors and phases,II-V1-05;II-V3-07,directly-verified,
II-V4-02,II,part_ii/v4_assembly.tex,lem:NandE,The coupled numerators denominators and phase insertions converge,II-V2-06;II-V2-10;II-V2-11;II-V3-07,not-closed-load-bearing,F-II-02
II-V4-03,II,part_ii/v4_assembly.tex,thm:A6,The fixed-time thermal functionals converge for every coarse Weyl symbol,II-V4-02,not-closed-load-bearing,F-II-02
II-V4-04,II,part_ii/v4_assembly.tex,thm:A7,Partition functions and normalized gaps converge and the lattice gaps are eventually uniform,II-G2;II-V2-06;II-V2-11;II-V3-05;II-V3-08,conditional-on-repairs,F-II-01;F-II-02
II-V4-05,II,part_ii/v4_assembly.tex,thm:gate,The thermal-to-ground-state gate II.11 closes,II-G1;II-V4-03;II-V4-04,conditional-on-repairs,F-II-01;F-II-02
II-V4-06,II,part_ii/v4_assembly.tex,thm:final,The full sequence of fixed-coarse interacting lattice states is identified with the continuum vacuum,II-O4;II-V4-05,not-proved-as-written,F-II-02
